PER 1 TOLA
1	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 800
3	FINE GOLD (9999): 58500	STANDARD GOLD (9950): 58200	Silver: 780
4	FINE GOLD (9999): 58300	STANDARD GOLD (9950): 58000	Silver: 775
5	FINE GOLD (9999): 58400	STANDARD GOLD (9950): 58100	Silver: 775
6	FINE GOLD (9999): 58000	STANDARD GOLD (9950): 57700	Silver: 765
7	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 765
8	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 765
10	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 770
11	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 770
12	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 770
13	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 765
14	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 765
15	FINE GOLD (9999): 57500	STANDARD GOLD (9950): 57200	Silver: 765
17	FINE GOLD (9999): 57500	STANDARD GOLD (9950): 57200	Silver: 765
18	FINE GOLD (9999): 57300	STANDARD GOLD (9950): 57000	Silver: 760
19	FINE GOLD (9999): 57200	STANDARD GOLD (9950): 56900	Silver: 755
20	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 760
21	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 765
22	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 760
24	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 760
25	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 760
26	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 765
27	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 760
28	FINE GOLD (9999): 57200	STANDARD GOLD (9950): 56900	Silver: 755
29	FINE GOLD (9999): 57200	STANDARD GOLD (9950): 56900	Silver: 755
31	FINE GOLD (9999): 57000	STANDARD GOLD (9950): 56700	Silver: 750
32	FINE GOLD (9999): 57100	STANDARD GOLD (9950): 56800	Silver: 750
