PER 1 TOLA
1	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 745
2	FINE GOLD (9999): 57300	STANDARD GOLD (9950): 57000	Silver: 740
4	FINE GOLD (9999): 57300	STANDARD GOLD (9950): 57000	Silver: 740
5	FINE GOLD (9999): 57200	STANDARD GOLD (9950): 56900	Silver: 735
6	FINE GOLD (9999): 57500	STANDARD GOLD (9950): 57200	Silver: 740
7	FINE GOLD (9999): 57400	STANDARD GOLD (9950): 57100	Silver: 735
8	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 745
9	FINE GOLD (9999): 58300	STANDARD GOLD (9950): 58000	Silver: 745
11	FINE GOLD (9999): 58500	STANDARD GOLD (9950): 58200	Silver: 745
12	FINE GOLD (9999): 58500	STANDARD GOLD (9950): 58200	Silver: 745
13	FINE GOLD (9999): 58500	STANDARD GOLD (9950): 58200	Silver: 745
14	FINE GOLD (9999): 58300	STANDARD GOLD (9950): 58000	Silver: 745
15	FINE GOLD (9999): 58000	STANDARD GOLD (9950): 57700	Silver: 740
16	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 740
18	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 740
19	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 745
20	FINE GOLD (9999): 58200	STANDARD GOLD (9950): 57900	Silver: 745
21	FINE GOLD (9999): 58000	STANDARD GOLD (9950): 57700	Silver: 740
22	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 735
23	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 740
26	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 740
27	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 740
28	FINE GOLD (9999): 58400	STANDARD GOLD (9950): 58100	Silver: 745
29	FINE GOLD (9999): 58900	STANDARD GOLD (9950): 58600	Silver: 750
30	FINE GOLD (9999): 58500	STANDARD GOLD (9950): 58200	Silver: 745
