PER 1 TOLA
2	FINE GOLD (9999): 77000	STANDARD GOLD (9950): 76700	Silver: 790
3	FINE GOLD (9999): 77500	STANDARD GOLD (9950): 77200	Silver: 790
4	FINE GOLD (9999): 75500	STANDARD GOLD (9950): 75200	Silver: 710
5	FINE GOLD (9999): 76500	STANDARD GOLD (9950): 76200	Silver: 710
6	FINE GOLD (9999): 75000	STANDARD GOLD (9950): 74700	Silver: 680
7	FINE GOLD (9999): 75500	STANDARD GOLD (9950): 75200	Silver: 700
9	FINE GOLD (9999): 76500	STANDARD GOLD (9950): 76200	Silver: 720
10	FINE GOLD (9999): 77000	STANDARD GOLD (9950): 76700	Silver: 720
